 PyRegen Analysis Result

 ***************************************************************************************************************************

 Engine Definition


 Oxidizer : LOX
 Fuel : Fuel
 Chamber Pressure = 102.04081632653062 bar
 Mixture Ratio = 3.6
 Ae/A* = 10.0
 Throat Radius = 4.5 cm
 Characteristic Length = 80.0 cm

 Coolant : Methane
 Coolant Mass Flow Rate = 7.0 kg/s
 Coolant Inlet Temperature = 120.2 K
 Coolant Inlet Temperature = 150.0 bar


 Short CEA Output

 Combustion Temperature = 3631.8 K
 Specific Impulse = 307.6 s
 Engine Mass Flow Rate = 34.94 kg/s Engine Thrust = 105.45 kN 


 Short PyRegen Output

 Max Hot Wall Temperature = 600.88 K
 Coolant Outlet Temperature = 241.5 K
 Coolant Outlet Pressure = 116.29 bar
 Maximum Wall Heat Flux = 51086.9 kW
 Maximum Gas Side Heat Transfer Coefficient = 16.72 kW/m^2K

 Temperature Rise in The Channels = 121.34 K
 Coolant Pressure Drop Through The Channels  = 33.71 bar

 ***************************************************************************************************************************


PyRegen Main Output 
Station       cw(mm)        ch(mm)        A/At         T_l(K)     P_coolant(bar)    T_wl(K)       T_wg(K)    velocity(m/s)   hg(kW/m^2*K)   Q_flux(kW/m^2)
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
1.00          0.60          2.50          8.06          120.16        150.00        355.47        399.37        36.68         3.47          11710.53  
2.00          0.60          2.50          7.91          122.20        147.18        353.66        398.02        36.93         3.51          11832.05  
3.00          0.60          2.50          7.75          124.12        146.93        354.39        399.23        37.15         3.55          11961.48  
4.00          0.60          2.50          7.58          126.04        146.68        353.67        399.04        37.38         3.59          12101.20  
5.00          0.60          2.50          7.41          127.95        146.42        352.83        398.76        37.61         3.64          12251.36  
6.00          0.60          2.50          7.24          129.86        146.16        352.03        398.56        37.84         3.69          12412.68  
7.00          0.60          2.50          7.06          131.76        145.89        351.34        398.52        38.08         3.75          12586.01  
8.00          0.60          2.50          6.88          133.67        145.62        350.75        398.63        38.33         3.80          12772.30  
9.00          0.60          2.50          6.70          135.57        145.35        350.29        398.92        38.58         3.87          12972.64  
10.00         0.60          2.50          6.51          137.47        145.07        349.95        399.38        38.83         3.94          13188.20  
11.00         0.60          2.50          6.32          139.37        144.79        349.72        400.03        39.10         4.01          13420.31  
12.00         0.60          2.50          6.13          141.27        144.50        349.62        400.86        39.36         4.09          13670.47  
13.00         0.60          2.50          5.93          143.17        144.21        349.64        401.89        39.64         4.17          13940.34  
